,service
0,ftp_data
1,other
2,private
3,http
4,remote_job
5,name
6,netbios_ns
7,eco_i
8,mtp
9,telnet
10,finger
11,domain_u
12,supdup
13,uucp_path
14,Z39_50
15,smtp
16,csnet_ns
17,uucp
18,netbios_dgm
19,urp_i
20,auth
21,domain
22,ftp
23,bgp
24,ldap
25,ecr_i
26,gopher
27,vmnet
28,systat
29,http_443
30,efs
31,whois
32,imap4
33,iso_tsap
34,echo
35,klogin
36,link
37,sunrpc
38,login
39,kshell
40,sql_net
41,time
42,hostnames
43,exec
44,ntp_u
45,discard
46,nntp
47,courier
48,ctf
49,ssh
50,daytime
51,shell
52,netstat
53,pop_3
54,nnsp
55,IRC
56,pop_2
57,printer
